2025-06-18 22:35:50,718 - INFO - System Monitor: Starting system monitoring...
2025-06-18 22:35:51,726 - INFO - CPU: Usage: 0.4%
2025-06-18 22:35:51,726 - INFO - Memory: Usage: 74.4%
2025-06-18 22:35:52,721 - INFO - Software: PID: 11604, Name: svchost.exe, Username: None
2025-06-18 22:35:52,721 - INFO - Software: PID: 11696, Name: python.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,722 - INFO - Software: PID: 11728, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,722 - INFO - Software: PID: 11920, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,729 - INFO - Software: PID: 11968, Name: svchost.exe, Username: None
2025-06-18 22:35:52,729 - INFO - Software: PID: 12008, Name: msedgewebview2.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,730 - INFO - Software: PID: 12048, Name: pwsh.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,734 - INFO - Software: PID: 12068, Name: svchost.exe, Username: None
2025-06-18 22:35:52,735 - INFO - Software: PID: 12076, Name: SearchHost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,735 - INFO - Software: PID: 12116, Name: StartMenuExperienceHost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,735 - INFO - Software: PID: 12284, Name: RuntimeBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,736 - INFO - Software: PID: 12328, Name: SystemSettingsBroker.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,741 - INFO - Software: PID: 12444, Name: DellSupportAssistRemedationService.exe, Username: None
2025-06-18 22:35:52,741 - INFO - Software: PID: 12464, Name: pwsh.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,742 - INFO - Software: PID: 12576, Name: Code.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,747 - INFO - Software: PID: 12660, Name: conhost.exe, Username: None
2025-06-18 22:35:52,748 - INFO - Software: PID: 12800, Name: Code.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,748 - INFO - Software: PID: 12840, Name: ArmouryCrate.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,749 - INFO - Software: PID: 12924, Name: mcshield.exe, Username: None
2025-06-18 22:35:52,749 - INFO - Software: PID: 13064, Name: TextInputHost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,749 - INFO - Software: PID: 13108, Name: Code.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,749 - INFO - Software: PID: 13176, Name: dllhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,750 - INFO - Software: PID: 13244, Name: ctfmon.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,750 - INFO - Software: PID: 13264, Name: TabTip.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,754 - INFO - Software: PID: 13428, Name: SearchIndexer.exe, Username: None
2025-06-18 22:35:52,754 - INFO - Software: PID: 13512, Name: svchost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,764 - INFO - Software: PID: 13716, Name: svchost.exe, Username: None
2025-06-18 22:35:52,765 - INFO - Software: PID: 13884, Name: ArmouryCrate.UserSessionHelper.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,765 - INFO - Software: PID: 13972, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,770 - INFO - Software: PID: 14020, Name: svchost.exe, Username: None
2025-06-18 22:35:52,775 - INFO - Software: PID: 14164, Name: NisSrv.exe, Username: None
2025-06-18 22:35:52,776 - INFO - Software: PID: 14220, Name: msedge.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,776 - INFO - Software: PID: 14348, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,777 - INFO - Software: PID: 14596, Name: GitHubDesktop.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,783 - INFO - Software: PID: 14624, Name: svchost.exe, Username: None
2025-06-18 22:35:52,783 - INFO - Software: PID: 14648, Name: McUICnt.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,789 - INFO - Software: PID: 14704, Name: ServiceShell.exe, Username: None
2025-06-18 22:35:52,796 - INFO - Software: PID: 14740, Name: svchost.exe, Username: None
2025-06-18 22:35:52,797 - INFO - Software: PID: 14780, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,798 - INFO - Software: PID: 14852, Name: SecurityHealthSystray.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,805 - INFO - Software: PID: 14856, Name: McCSPServiceHost.exe, Username: None
2025-06-18 22:35:52,805 - INFO - Software: PID: 14868, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,812 - INFO - Software: PID: 15296, Name: svchost.exe, Username: None
2025-06-18 22:35:52,816 - INFO - Software: PID: 15748, Name: servicehost.exe, Username: None
2025-06-18 22:35:52,817 - INFO - Software: PID: 15760, Name: conhost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,822 - INFO - Software: PID: 15820, Name: mcapexe.exe, Username: None
